asset_i,asset_j,spearman_rho,p_value,n_windows
ABEV3.SA,ITUB4.SA,0.05962362456226868,0.09547177273470475,783
ABEV3.SA,LREN3.SA,0.0031833323830114863,0.9291340761185284,783
ABEV3.SA,PETR4.SA,-0.11134536273279927,0.001805986177692003,783
ABEV3.SA,VALE3.SA,-0.04002818018761728,0.263254070218352,783
ABEV3.SA,WEGE3.SA,0.09976376857589613,0.005204165275244077,783
ITUB4.SA,LREN3.SA,0.06502371225910936,0.06898463211025367,783
ITUB4.SA,PETR4.SA,0.051141621066217585,0.15280277925249883,783
ITUB4.SA,VALE3.SA,-0.047502034296977164,0.184232781008127,783
ITUB4.SA,WEGE3.SA,0.08485555641546973,0.017552229033924976,783
LREN3.SA,PETR4.SA,0.053841177996465414,0.13225307069394335,783
LREN3.SA,VALE3.SA,-0.029447236901938113,0.41058837712993185,783
LREN3.SA,WEGE3.SA,-0.010685533850860032,0.7652949369650828,783
PETR4.SA,VALE3.SA,0.07609213100532566,0.03326204190459846,783
PETR4.SA,WEGE3.SA,0.09960115980425154,0.005278298867776111,783
VALE3.SA,WEGE3.SA,-0.0037272030251380905,0.917067099243012,783
