asset,window_id,reference_date,window_start_date,window_end_date,tau,embedding_dimension,n_window_obs,n_embedding_points,homology_dimension,tp_h1_real,n_h1_features_real,surrogate_count,surrogate_mean,surrogate_std,surrogate_median,surrogate_min,surrogate_max,envelope_lower,envelope_upper,lower_quantile,upper_quantile,above_envelope,below_envelope,inside_envelope,distance_to_surrogate_mean,z_score_vs_surrogates,n_h1_features,volatility_window,volatility_annualized
ABEV3.SA,28,2010-10-22,2010-07-29,2010-10-22,3,5,60,48,1,5.0521217584609985,21,1000,2.4374667183756826,1.032517007932875,2.303700625896454,0.4289795756340027,6.651366233825684,0.8255583092570306,4.67847041785717,0.025,0.975,True,False,False,2.614655040085316,2.532311836024785,21,0.01354989415367541,0.2150979013312389
ABEV3.SA,29,2010-10-29,2010-08-05,2010-10-29,3,5,60,48,1,5.612414479255676,24,1000,2.422635525614023,1.039135881677994,2.2790956497192383,0.2809187173843384,7.519290447235107,0.8546435385942459,4.726040109992027,0.025,0.975,True,False,False,3.189778953641653,3.069645664136634,24,0.014882754318190259,0.23625640049762445
ABEV3.SA,30,2010-11-08,2010-08-12,2010-11-08,3,5,60,48,1,5.358450531959534,22,1000,2.4173737225532532,1.049488714800162,2.2765620946884155,0.33045947551727295,6.941740393638611,0.798395998775959,4.7913066118955605,0.025,0.975,True,False,False,2.9410768094062805,2.8023901238102447,22,0.015041348273702952,0.23877400149197223
ABEV3.SA,31,2010-11-16,2010-08-19,2010-11-16,3,5,60,48,1,4.978010773658752,23,1000,2.3948420072197916,1.0142526915635584,2.2207542657852173,0.3471531271934509,6.026741147041321,0.8469518333673477,4.789212253689765,0.025,0.975,True,False,False,2.583168766438961,2.54686902773389,23,0.015162631681641515,0.24069931590535523
ABEV3.SA,34,2010-12-07,2010-09-10,2010-12-07,3,5,60,48,1,5.3529356718063354,24,1000,2.391804532378912,0.9917216890110078,2.2737791538238525,0.22155559062957764,6.555222272872925,0.8130940899252892,4.676892611384391,0.025,0.975,True,False,False,2.9611311394274233,2.9858489253980163,24,0.01584483317255811,0.251528928839372
ABEV3.SA,35,2010-12-14,2010-09-17,2010-12-14,3,5,60,48,1,5.5213576555252075,25,1000,2.380159294068813,1.0003825552024108,2.2518609166145325,0.14960241317749023,6.819077372550964,0.7744051545858384,4.568699645996094,0.025,0.975,True,False,False,3.1411983614563943,3.1399971392152324,25,0.015340552208656306,0.24352371671104334
ABEV3.SA,36,2010-12-21,2010-09-24,2010-12-21,3,5,60,48,1,4.852997183799744,21,1000,2.351373612254858,0.9788772469321497,2.2367556989192963,0.2246374487876892,6.039804100990295,0.7012425944209099,4.519098207354546,0.025,0.975,True,False,False,2.5016235715448856,2.5556049845729882,21,0.014987349991312517,0.23791680533339385
ABEV3.SA,102,2012-04-20,2012-01-23,2012-04-20,3,5,60,48,1,4.9345351457595825,19,1000,2.4297527266144754,1.0424296813271288,2.3043763637542725,0.15139847993850708,7.16254723072052,0.7804633527994156,4.778018751740454,0.025,0.975,True,False,False,2.504782419145107,2.4028310628648266,19,0.014693537899484934,0.2332526829704371
ABEV3.SA,103,2012-04-27,2012-01-31,2012-04-27,3,5,60,48,1,5.982530355453491,22,1000,2.420969471395016,1.0573632804932498,2.25973317027092,0.32538652420043945,7.695828437805176,0.8058973997831345,4.77620044350624,0.025,0.975,True,False,False,3.5615608840584754,3.3683417513771063,22,0.014515216606456556,0.23042192020151372
ABEV3.SA,121,2012-09-05,2012-06-13,2012-09-05,3,5,60,48,1,4.867442965507507,27,1000,2.4476157696545124,1.0635196804838212,2.301555871963501,0.27179408073425293,7.831045389175415,0.7720195665955544,4.753762248158454,0.025,0.975,True,False,False,2.419827195852995,2.275300815074862,27,0.01390575923766924,0.22074708440647162
ABEV3.SA,122,2012-09-13,2012-06-20,2012-09-13,3,5,60,48,1,5.515544176101685,30,1000,2.4337478117644786,1.0692021449685678,2.2821363508701324,0.31288081407546997,6.598036408424377,0.7218733161687851,4.760295408964157,0.025,0.975,True,False,False,3.081796364337206,2.8823327551665208,30,0.013536958915682854,0.21489256079397248
ABEV3.SA,123,2012-09-20,2012-06-27,2012-09-20,3,5,60,48,1,5.09089732170105,26,1000,2.408519122302532,1.0508310902946891,2.3191238045692444,0.22349488735198975,6.681046366691589,0.687235926091671,4.753250381350517,0.025,0.975,True,False,False,2.6823781993985176,2.552625463951858,26,0.013554780690124167,0.21517547269253406
ABEV3.SA,188,2014-01-17,2013-10-18,2014-01-17,3,5,60,48,1,6.620829343795776,32,1000,2.4197239314615726,1.0699393907980246,2.255027115345001,0.2973191738128662,6.539549112319946,0.7875708416104317,4.954299560189247,0.025,0.975,True,False,False,4.201105412334204,3.9264891529984416,32,0.013183576746801028,0.20928279277421682
